"Column1","Тип квартиры","м^2","Этаж","Этажей в доме","Адресс","Станция метро","Окна во двор","Окна на улицу","Окна на солнечную сторону","Новостройка","Цена квартиры","Цена за м^2"
"2794","1-к. квартира","32,3 м²","13","23 эт.","Кавказский б-р, корп. 1.5-1.6","Кантемировская","1","0","0","1","7995800","247 548 ₽ за м²"
"2795","2-к. квартира","32 м²","25","26 эт.","жилой комплекс Люблинский Парк, корп. 9-10","Братиславская","1","0","0","1","9500000","296 875 ₽ за м²"
"2796","3-к. квартира","73 м²","2","14 эт.","ул. Саларьевская, жилые дома","Саларьево","1","0","0","1","14063304","192 648 ₽ за м²"
"2797","Квартира-студия","25,4 м²","13","32 эт.","жилой комплекс Митинский Лес, жилые дома","Пятницкое шоссе","1","0","0","1","5655056","222 640 ₽ за м²"
"2798","3-к. квартира","97,8 м²","5","20 эт.","ул. Большая Филёвская, д. 3, корп. 4","Фили","1","0","0","1","30672818","313 628 ₽ за м²"
"2799","2-к. квартира","49 м²","15","24 эт.","ул. Кольская, д. 8, корп. 2","Свиблово","1","0","0","1","14751744","301 056 ₽ за м²"
"2800","2-к. квартира","48,6 м²","13","24 эт.","улица Римского-Корсакова, Жилой комплекс «Римского-Корсакова 11»","Бибирево","1","0","0","1","11700450","240 750 ₽ за м²"
"2801","Квартира-студия","23,5 м²","28","33 эт.","Сигнальный проезд, вл. 16","Владыкино","1","0","0","1","6765744","287 904 ₽ за м²"
"2802","3-к. квартира","80,4 м²","33","33 эт.","Сигнальный проезд, вл. 16","Владыкино","1","0","0","1","17358681","215 904 ₽ за м²"
"2803","2-к. квартира","53,2 м²","16","22 эт.","2-й Нагатинский пр-д , ЖК «Второй Нагатинский»","Коломенская","1","0","0","1","13807102","259 532 ₽ за м²"
"2804","2-к. квартира","50,8 м²","15","25 эт.","ул. Люблинская, жилые дома","Братиславская","1","0","0","1","10585704","208 380 ₽ за м²"
"2805","Квартира-студия","21,9 м²","15","22 эт.","2-й Нагатинский пр-д , ЖК «Второй Нагатинский»","Коломенская","1","0","0","1","6612573","301 944 ₽ за м²"
"2806","1-к. квартира","32,2 м²","26","33 эт.","Кавказский б-р, корп. 1.5-1.6","Кантемировская","1","0","0","1","8002601","248 528 ₽ за м²"
"2807","3-к. квартира","62,4 м²","3","9 эт.","ул. Автозаводская, вл. 23/66","Нагатинская","1","0","0","1","19900000","318 910 ₽ за м²"
"2808","3-к. квартира","78,5 м²","2","33 эт.","ул. Большая Очаковская, вл. 2","Аминьевская","1","0","0","1","19813400","252 400 ₽ за м²"
"2809","2-к. квартира","61,8 м²","16","33 эт.","ул. Большая Очаковская, вл. 2","Аминьевская","1","0","0","1","16432620","265 900 ₽ за м²"
"2810","1-к. квартира","32,3 м²","8","33 эт.","ЖК «Амурский парк», жилые дома","Локомотив","1","0","0","1","8683532","268 840 ₽ за м²"
"2811","2-к. квартира","36 м²","19","24 эт.","ул. Римского-Корсакова, жилой дом","Отрадное","1","0","0","1","8686440","241 290 ₽ за м²"
"2812","1-к. квартира","30,7 м²","29","33 эт.","ул. Большая Очаковская, вл. 2","Аминьевская","1","0","0","1","9925310","323 300 ₽ за м²"
"2813","1-к. квартира","42,8 м²","15","33 эт.","Сигнальный проезд, вл. 16","Владыкино","1","0","0","1","11295091","263 904 ₽ за м²"
"2814","2-к. квартира","60,6 м²","5","17 эт.","ул. Николая Химушина, ЖК «Открытый парк»","Бульвар Рокоссовского","1","0","0","1","13154442","217 070 ₽ за м²"
"2815","1-к. квартира","36,7 м²","20","47 эт.","ул. Академика Волгина, вл. 2","Калужская","1","0","0","1","15495000","422 207 ₽ за м²"
"2816","2-к. квартира","48,8 м²","5","33 эт.","Ижорская ул., вл. 6","Ховрино","1","0","0","1","11941555","244 704 ₽ за м²"
"2817","3-к. квартира","78,7 м²","10","19 эт.","жилой комплекс Митинский Лес, жилые дома","Пятницкое шоссе","1","0","0","1","12996518","165 140 ₽ за м²"
"2818","2-к. квартира","64,9 м²","10","24 эт.","улица Римского-Корсакова, Жилой комплекс «Римского-Корсакова 11»","Бибирево","1","0","0","1","14579136","224 640 ₽ за м²"
"2819","3-к. квартира","81 м²","9","19 эт.","жилой комплекс Митинский Лес, жилые дома","Пятницкое шоссе","1","0","0","1","13130424","162 104 ₽ за м²"
